model_id,policy,seed,round,hv,igd
i01o_m1,parego,11,1,0.7188664991039886,0.16560881297646113
i01o_m1,parego,11,2,0.8443422707400409,0.05948335245704578
i01o_m1,parego,11,3,0.8443422707400409,0.05948335245704578
i01o_m1,parego,11,4,0.8480566418961233,0.056142471397986345
i01o_m1,parego,11,5,0.8480566418961233,0.056142471397986345
i01o_m1,parego,11,6,0.8480566418961233,0.056142471397986345
i01o_m1,parego,11,7,0.8692494806094183,0.04380302497834751
i01o_m1,parego,11,8,0.8692494806094183,0.04380302497834751
i01o_m1,parego,11,9,0.8692494806094183,0.04380302497834751
i01o_m1,parego,11,10,0.8692494806094183,0.04380302497834751
i01o_m1,parego,11,11,0.8692494806094183,0.04380302497834751
i01o_m1,parego,11,12,0.9131813810007288,0.02925255550087148
i01o_m1,parego,11,13,0.9132624067121198,0.02903486757365188
i01o_m1,parego,11,14,0.9132624067121198,0.02903486757365188
i01o_m1,parego,11,15,0.9132624067121198,0.02903486757365188
i01o_m1,parego,11,16,0.9132624067121198,0.02903486757365188
i01o_m1,parego,11,17,0.9164755132840604,0.02689437731122198
i01o_m1,parego,11,18,0.9164755132840604,0.02689437731122198
i01o_m1,parego,11,19,0.9164755132840604,0.02689437731122198
i01o_m1,parego,11,20,0.9164755132840604,0.02689437731122198
i01o_m1,parego,12,1,0.8156542330168459,0.0854491459045665
i01o_m1,parego,12,2,0.8156542330168459,0.0854491459045665
i01o_m1,parego,12,3,0.8174421577108459,0.0854491459045665
i01o_m1,parego,12,4,0.8174421577108459,0.0854491459045665
i01o_m1,parego,12,5,0.8174773244135647,0.0854491459045665
i01o_m1,parego,12,6,0.8692494806094183,0.04380302497834751
i01o_m1,parego,12,7,0.8692494806094183,0.04380302497834751
i01o_m1,parego,12,8,0.8692494806094183,0.04380302497834751
i01o_m1,parego,12,9,0.8692494806094183,0.04380302497834751
i01o_m1,parego,12,10,0.8692494806094183,0.04380302497834751
i01o_m1,parego,12,11,0.8692494806094183,0.04380302497834751
i01o_m1,parego,12,12,0.8693193029723765,0.03998449047274658
i01o_m1,parego,12,13,0.8693193029723765,0.03998449047274658
i01o_m1,parego,12,14,0.9071795631731352,0.014725052863034245
i01o_m1,parego,12,15,0.9071795631731352,0.014725052863034245
i01o_m1,parego,12,16,0.9071795631731352,0.014725052863034245
i01o_m1,parego,12,17,0.9071795631731352,0.014725052863034245
i01o_m1,parego,12,18,0.9071795631731352,0.014725052863034245
i01o_m1,parego,12,19,0.9071795631731352,0.014725052863034245
i01o_m1,parego,12,20,0.9071795631731352,0.014725052863034245
i01o_m1,parego,13,1,0.8318387303901152,0.0705827383917781
i01o_m1,parego,13,2,0.8320483279695633,0.0705827383917781
i01o_m1,parego,13,3,0.8320483279695633,0.0705827383917781
i01o_m1,parego,13,4,0.8320483279695633,0.0705827383917781
