model_id,policy,seed,valid_trials,invalid_trials,valid_rate,hv_auc,hv_final,igd_auc,igd_final,hv_5,hv_10,hv_20,wall_seconds,mesh_invalid,mesh_failure
i01o_m1,random_seed,12,19,1,0.95,0.8307323162608511,0.8468623765776677,0.07352378653289002,0.05794192099992727,0.8250849813680207,0.827200932804113,0.8468623765776677,150.8612813000218,1,0
i01o_m1,random_seed,13,19,1,0.95,0.8585437458185753,0.9005240073155082,0.05364300277415838,0.033408532764526405,0.8243841044038572,0.8509912414496259,0.9005240073155082,74.56388839996362,1,0
i02o_m2,parego,11,20,0,1.0,0.8825566281628787,0.9235889079020736,0.051972387938461775,0.011950237637449299,0.8571631486410679,0.8732939656400341,0.9235889079020736,71.86530970000604,0,0
i02o_m2,parego,12,20,0,1.0,0.8851195402660498,0.9299943262545339,0.04946186988951832,0.005805149170824901,0.8370713128855024,0.868724634561796,0.9299943262545339,71.6959196000098,0,0
i02o_m2,parego,13,20,0,1.0,0.9027969443189489,0.9253218507906342,0.03258318916822211,0.010361483736796412,0.884701976590034,0.8854576644701259,0.9253218507906342,69.53241400000115,0,0
i02o_m2,parego_seed,11,20,0,1.0,0.9069753904707387,0.9270817695366964,0.0283844978967565,0.008657201798630028,0.8907227951909096,0.90440678669278,0.9270817695366964,72.99131099997612,0,0
i02o_m2,parego_seed,12,20,0,1.0,0.8997538270048303,0.9243746546249476,0.03559785650804526,0.011509308717290744,0.8713953222231093,0.9228582228305023,0.9243746546249476,73.86660720001964,0,0
i02o_m2,parego_seed,13,20,0,1.0,0.8778881474521548,0.8833762165531776,0.057310000668947994,0.05218692766039875,0.8714647430505565,0.883192590464403,0.8833762165531776,69.9144110000052,0,0
i02o_m2,qlogehvi_mixed,11,20,0,1.0,0.9034884407726945,0.929273496786677,0.03145502380455015,0.006678410010859237,0.8571694214862179,0.9266484901159872,0.929273496786677,89.91666409996105,0,0
i02o_m2,qlogehvi_mixed,12,20,0,1.0,0.8883682742200748,0.9330112859683094,0.0462390063023487,0.00291513838731141,0.8370713128855024,0.9018863421550094,0.9330112859683094,87.5333941000572,0,0
i02o_m2,qlogehvi_mixed,13,20,0,1.0,0.8848348927348131,0.8849424915186817,0.05018092289254126,0.05018092289254126,0.884701976590034,0.8849424915186817,0.8849424915186817,81.56911580004089,0,0
i02o_m2,qlogehvi_mixed_seed,11,20,0,1.0,0.9056780701202641,0.9365362186845445,0.03004272748360697,0.001141460564987538,0.8712661279969902,0.9320785318499264,0.9365362186845445,93.58219210001698,0,0
i02o_m2,qlogehvi_mixed_seed,12,20,0,1.0,0.9081908624184182,0.934044478059868,0.027314604809015142,0.0019991830573369996,0.8708759290335027,0.9193581068728433,0.934044478059868,99.50249790001544,0,0
i02o_m2,qlogehvi_mixed_seed,13,20,0,1.0,0.9030099035694905,0.9373666397874416,0.03285301729970899,0.0014210113616234758,0.8709243203422217,0.8950084101595798,0.9373666397874416,98.00385940000706,0,0
i02o_m2,random,11,20,0,1.0,0.8833732615872352,0.9017103242447042,0.05131620190293291,0.033966016812349474,0.8571631486410679,0.9016995190632817,0.9017103242447042,129.6451020999957,0,0
i02o_m2,random,12,20,0,1.0,0.8655278144321215,0.9025523016868973,0.0682396168107704,0.032093141263168624,0.8370713128855024,0.8449125338569251,0.9025523016868973,130.3150719000114,0,0
