optimizer,model_id,delta_hv_auc_mean,delta_hv_auc_sd,delta_hv_5_mean,delta_hv_10_mean,delta_hv_20_mean,delta_igd_final_mean,delta_valid_rate_mean
parego,s15o_cylinder,-0.004219951491075273,0.0027415773035096252,-0.009922006511545955,0.012202436620728027,-0.011084943388366334,0.011160327399748144,0.0
qlogehvi_mixed,i01o_m1,0.0003651378746379885,0.0024047721897760195,-0.010546273552754282,-0.0024958847437956955,-0.00016415088253089274,0.008245488089590518,0.0
qlogehvi_mixed,i02o_m2,0.013395742793530138,0.009739679754238282,0.011374555470320106,0.01098924169755707,0.020240020752728682,-0.01840427210225463,0.0
qlogehvi_mixed,i03o_m3,-0.00411353728079189,0.011102139067089135,-0.014762564596301986,-0.021129414368553385,0.0007625997984948008,-0.00042886016344794467,0.0
qlogehvi_mixed,i04o_m4,-0.0013818359110725116,0.02123149721448112,-0.02906626249018111,0.00437145838461291,-0.0017687161138703795,0.00044044701039091145,0.0
qlogehvi_mixed,i05o_m5,0.00011788054952629097,0.022159676364259438,0.008379392748360007,-0.019905851146878484,-0.0025471541618789693,0.0019797577891642842,0.0
qlogehvi_mixed,i06o_m6,0.0005324139875982533,0.019155456237117764,-0.01781420623353258,0.0049121814827648436,0.010495578792596216,-0.004617877233527478,0.0
qlogehvi_mixed,i07o_m7,-0.0003074558473264988,0.026673759296959816,0.009026206160438366,-0.02791652254830875,-0.026019989214792167,0.025717935368195385,0.016666666666666646
qlogehvi_mixed,i08o_m8,-0.036308693968131,0.03769130706597659,0.015617566819012718,0.002204232195527863,-0.019847703141967266,0.004379242081361555,-0.04999999999999997
qlogehvi_mixed,i09o_m9,0.018396305695381237,0.03259639981573533,-0.04617244634091385,0.03454765594310575,0.008349029371756337,-0.004601893923996466,0.01666666666666668
qlogehvi_mixed,i10o_simp,-0.009352428829644674,0.007221906509664135,-0.024518116148954976,-0.001069901366150557,0.001162408563778768,-0.0012392440740894527,0.0
qlogehvi_mixed,i11o_s1,-0.00894068827443295,0.009961325144025366,-0.008497599823839056,-0.012752329298321005,0.002089442403025369,-0.001681813586977188,0.0
qlogehvi_mixed,i14o_s7,0.00211841186800051,0.01572889097502417,-0.011506664561789984,-0.006731470833248913,-0.0010623455847202923,-5.8331400311142966e-05,-0.01666666666666668
qlogehvi_mixed,i17o_s20,-0.0007629745915539073,0.008820696540761229,-0.035685253514068704,-0.012770048400080595,0.012943046712815987,-0.00903928732243015,0.0
qlogehvi_mixed,n11o_limit_cycle,-0.013568084039748888,0.008940285507822979,-0.004276071520946482,-0.021098875903176013,-0.010135494340769177,0.010137735997546237,0.0
qlogehvi_mixed,n12o_limit_cycle_genus0,-0.00026906835067974644,0.009050455980139883,0.007344290788238839,0.002229574210008837,0.0022489725025147678,-0.0021462795003817686,0.0
qlogehvi_mixed,s09o_bridge,0.005864683805607636,0.0157717002748469,-0.0036764670554055487,-0.0007310090700963409,0.01886622577987307,-0.01886481371810651,0.0
qlogehvi_mixed,s12o_cube_rounded_1,0.005400107551556177,0.02344161349449227,-0.01290892703471754,0.008718553823335492,0.002063819030368267,0.0005903043802235958,0.0
qlogehvi_mixed,s13o_cube_rounded_2,0.008341799386838988,0.03017065832355557,0.0033448438297272918,0.0359408814242295,0.006244286036934017,-0.006241638421884819,0.0
qlogehvi_mixed,s14o_cube_corner_sub_sphere,-0.004377439795521003,0.007312952478057786,-0.003525316371230399,-0.006194626922052415,0.0023024039691105593,-0.002290185383498139,0.0
qlogehvi_mixed,s15o_cylinder,0.004556239274274325,0.019290012033919567,0.007911073583843908,0.01352746962035293,0.006054850806240353,-0.006059835061884016,0.0
