policy,n_runs,valid_rate_mean,valid_rate_sd,valid_rate_median,valid_rate_min,valid_rate_max,hv_auc_mean,hv_auc_sd,hv_auc_median,hv_auc_min,hv_auc_max,hv_final_mean,hv_final_sd,hv_final_median,hv_final_min,hv_final_max,igd_auc_mean,igd_auc_sd,igd_auc_median,igd_auc_min,igd_auc_max,igd_final_mean,igd_final_sd,igd_final_median,igd_final_min,igd_final_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_median,wall_seconds_min,wall_seconds_max,invalid_trials_total,wall_seconds_total
random,60,0.9724999999999999,0.06728701489055193,1.0,0.65,1.0,0.8753746396822196,0.06378891415206135,0.8857659957513759,0.6283992071739112,0.9710646442366979,0.8964948742302445,0.053252771509790305,0.9081785270553764,0.6625125850849788,0.9859484777517564,0.05493494183967317,0.03407107970544331,0.05179401530679726,0.007230241395254941,0.17477977259271632,0.035980341073186525,0.024884525484553513,0.03368727478843794,0.0,0.12381359177510982,141.13784711332872,24.596922806471337,135.64372365001327,108.97392870001204,201.64936399993894,33,8468.270826799722
random_seed,60,0.9708333333333333,0.06528403824609438,1.0,0.65,1.0,0.8742181459698711,0.06674711413471955,0.8841650389504359,0.5859461338005442,0.9682819661625632,0.8943708384153601,0.05992976811621554,0.9081785270553764,0.6435746307546985,0.9859484777517564,0.055659224407984514,0.03293463996437933,0.05016173607586359,0.01078828920433242,0.1810934684878772,0.037974303253941036,0.028118995232407386,0.03439570321414041,0.0,0.14023020180802365,139.04221547166088,36.72281470706581,139.4224844499622,68.63268920002156,225.5782302000298,35,8342.532928299654
parego,60,0.9841666666666667,0.03504436252284764,1.0,0.85,1.0,0.8918167143867255,0.049806476420772745,0.8985960335120664,0.7153539612456004,0.9623758088620291,0.9222244943996912,0.03653800412136559,0.9275487519802958,0.7851369623704223,0.9716506630086877,0.04124429053487582,0.023135912565811344,0.03701964782883998,0.007137240056043825,0.1411023045797724,0.014909127538722457,0.013362706455912414,0.012398554580576274,0.0,0.06428971275166424,85.37476118833122,25.62886657893966,75.81725529999676,60.244247099995846,175.7807957999612,19,5122.4856712998735
parego_seed,60,0.9858333333333335,0.03455732975141486,1.0,0.85,1.0,0.8886732907500124,0.054943265098150125,0.8969794184654525,0.6466225471778234,0.961083456779133,0.9199251372837473,0.040416388538733874,0.9269073244222872,0.739845859101414,0.9731958762886598,0.0432343563921933,0.021033733398876056,0.03797288608982469,0.010806368386738194,0.11669411261507111,0.01633278580416182,0.01414773303422652,0.010644182901002207,0.0006467439785905471,0.060525238494741535,77.31648586499868,13.912532556381773,75.19005870001274,60.39380229996459,119.95812580003985,17,4638.989151899921
qlogehvi_mixed,60,0.9900000000000001,0.02400564905268504,1.0,0.9,1.0,0.8986029779118875,0.04439937318287217,0.9051537680738619,0.72912406723302,0.9686417682159942,0.926901149093816,0.030475237337330947,0.930785999402507,0.8040135800747704,0.9820051413881749,0.03614908420470493,0.019936077784721885,0.03356371421427426,0.006714684529958104,0.0888294478817008,0.012253417697516356,0.011740493385408871,0.00848652080528485,3.632470120053549e-05,0.05018092289254126,102.61007841500032,23.181957057729967,95.2025383500004,73.50966490000428,152.29996199999005,12,6156.604704900019
qlogehvi_mixed_seed,60,0.9883333333333334,0.026627796529615416,1.0,0.9,1.0,0.8975883037067901,0.049284440631967526,0.9062901965472587,0.6903595422731738,0.9591671046219983,0.9285150056478017,0.035446253347325145,0.9308018549145113,0.7918133391745736,0.9782501895699166,0.03669698708183868,0.01678861220603608,0.035349287907276275,0.008612110011600194,0.09637234926606639,0.01104424663870049,0.013155342609648358,0.006189137334517402,0.0,0.0772877462039812,113.08173284500299,28.950268368289294,106.1731617499754,66.99678840002161,206.70931069998187,14,6784.903970700179
